"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Personal Information","0","","3","0","Como usuário, quero visualizar meus dados pessoais, para validar ou atualizar meus dados","0"
"0","Contact Us","0","","3","0","Como usuário, quero entrar em contato com a página, para tirar dúvidas sobre pedidos ou demais assuntos.","0"
"0","Create An Account","0","","4","0","Como usuário, quero realizar cadastro no site, para utilizar suas funcionalidades","0"
"0","Home","0","","19","0","Como usuário do sistema, desejo navegar no site e acessar corretamente as páginas principais ao utilizar os menus e botões de navegação.","0"
"0","Login","0","","10","0","Como usuário do sistema, quero fazer login na aplicação, para acessar o site","0"
"0","Product and Payment","0","","4","0","Como usuário do sistema, desejo adicionar produtos ao carrinho e realizar o pagamento para finalizar minha compra com sucesso.","0"
"0","Address","0","","8","0","Como usuário do sistema, quero acessar a funcionalidade de endereços para gerenciar meus endereços","0"
"0","Forgot Password","0","","3","0","Como usuário do sistema, quero recuperar minha senha, para ter acesso ao sistema novamente.","0"
